Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
23.0,12,19114.12,1824.8433333333328,3.0,4.0,3.0,4.0,3.0,7.0,11.27,4.0,1,809.98,26.822619623699016,265.0,1,49.57494921489417,21.465380264657146,2,312.49408867943663,Good
28.0,13,34847.84,3037.986666666666,2.0,4.0,6.0,1.0,3.0,4.0,5.42,2.0,1,605.03,24.46403063758457,319.0,1,18.816214573128885,39.684018417945296,5,470.69062692529184,Standard
34.0,4,143162.64,12187.22,1.0,5.0,8.0,3.0,5.0,8.0,7.1,3.0,1,1303.01,28.616734823006844,213.0,1,246.9923194537421,168.413702679309,2,1043.3159778669492,Good
54.0,5,30689.89,2612.4908333333333,2.0,5.0,4.0,1.0,0.0,6.0,1.99,4.0,1,632.46,26.54422872407309,207.0,1,16.415451659824875,29.393311428984493,3,433.6047729627723,Standard
21.0,2,35547.71,2853.3091666666664,7.0,5.0,5.0,0.0,5.0,15.0,2.58,4.0,2,943.86,39.79776423199917,368.0,2,0.0,37.64363788963997,1,288.60552234930395,Standard
31.0,7,73928.46,5988.705000000001,4.0,5.0,8.0,0.0,12.0,10.0,10.14,2.0,1,548.2,39.96268501363903,384.0,1,0.0,42.63559025189578,0,740.1960900583389,Good
33.0,7,131313.4,11242.783333333333,0.0,1.0,8.0,2.0,0.0,3.0,9.34,2.0,1,352.16,32.200508995391914,367.0,0,137.6446054014217,86.56638801207531,1,858.462474411158,Good
30.0,10,34081.38,2611.115,8.0,7.0,15.0,3.0,30.0,11.0,17.13,5.0,2,1704.18,24.44806274625548,176.0,0,70.47833267207261,29.32636371091455,3,298.19215813115227,Poor
23.0,3,114838.41,9843.8675,2.0,5.0,7.0,3.0,13.0,11.0,8.24,3.0,1,1377.74,33.66455429077268,256.0,1,226.8927919215432,212.23560220847847,2,802.3004421328528,Good
44.0,6,31370.8,2825.233333333333,0.0,5.0,12.0,2.0,4.0,0.0,5.76,2.0,1,421.43,29.51935255713933,318.0,0,46.61612907334207,22.29805714008664,2,341.55442316289026,Good
40.0,13,33751.27,2948.605833333333,5.0,5.0,20.0,3.0,16.0,20.0,11.0,4.0,2,1328.93,37.08907564543987,230.0,0,65.00817428651536,25.192561910314712,1,362.5457119402324,Standard
32.0,4,88640.24,7266.686666666667,3.0,6.0,1.0,2.0,4.0,0.0,3.51,3.0,1,950.36,28.210617211444603,305.0,1,135.17337097171767,77.84134310772485,0,732.563531674279,Standard
35.0,5,54392.16,4766.68,6.0,4.0,14.0,3.0,10.0,8.0,5.54,3.0,2,179.22,25.64924606724341,322.0,2,124.39208242092045,33.349568589344514,3,378.54048018698535,Standard
39.0,8,8701.545,519.12875,6.0,5.0,32.0,7.0,23.0,9.0,8.86,6.0,2,2602.69,24.523163853918167,107.0,2,36.54819717138717,13.066209919444336,3,272.2984679091685,Poor
36.0,5,25546.26,2415.855,8.0,7.0,14.0,5.0,16.0,14.0,7.83,5.0,2,758.44,37.41820916883601,218.0,0,101.3286373638512,19.35620844123396,1,337.1522635235368,Standard
30.0,12,31993.78,2942.148333333333,6.0,6.0,7.0,2.0,8.0,14.0,6.28,0.0,2,818.22,25.36959679239191,202.0,2,45.14129822463578,23.27102220438635,4,447.0747000515962,Standard
20.0,0,92047.08,7591.59,6.0,7.0,16.0,0.0,16.0,11.0,9.13,0.0,2,1296.64,37.11561494309292,350.0,2,0.0,59.28557022863863,0,854.5248768604907,Standard
45.0,13,32284.62,2898.385,6.0,7.0,17.0,6.0,11.0,12.0,9.22,8.0,2,1283.37,28.94089258854545,77.0,2,103.03756035536594,35.793568414159616,4,211.93932455566463,Standard
26.0,11,97791.42,8079.285,6.0,6.0,12.0,0.0,18.0,8.0,17.92,1.0,2,107.41,25.71557884311532,326.0,2,0.0,77.60922833984066,5,646.6819806304122,Standard
31.0,5,19300.34,1512.361666666667,6.0,7.0,17.0,5.0,52.0,19.0,9.95,7.0,0,2430.21,29.934185732751413,218.0,2,49.57206224445275,44.50950984607408,5,312.4876885895601,Poor
41.0,11,19514.88,1828.24,7.0,5.0,17.0,0.0,30.0,12.0,4.17,2.0,2,881.4,26.084542750932684,231.0,0,0.0,43.315824459505386,1,382.6802728608033,Standard
41.0,10,10183.015,1074.5845833333333,7.0,5.0,17.0,5.0,48.0,21.0,8.969999999999997,6.0,0,1672.43,25.951272885300533,121.0,2,37.58807283812568,14.622739235117402,0,295.2476462600903,Poor
19.0,5,106733.13,8873.4275,4.0,4.0,1.0,0.0,10.0,8.0,0.86,0.0,1,76.23,29.815895626895166,393.0,1,0.0,172.03282853259896,3,768.9823963390119,Good
31.0,7,12600.445,782.0370833333334,5.0,5.0,10.0,3.0,28.0,19.0,15.79,7.0,2,569.8,33.07588356651339,147.0,2,26.060347529205966,0.0,0,284.2982044805207,Standard
34.0,9,57983.12,4720.926666666667,9.0,8.0,31.0,8.0,47.0,19.0,7.27,12.0,0,3532.83,32.321769461626175,147.0,2,200.43261339470683,159.13672195005464,5,295.95384132335937,Poor
48.0,5,20787.69,1999.3075,8.0,6.0,14.0,3.0,22.0,14.0,1.13,3.0,2,614.6,23.723185779641085,214.0,1,42.22199265643221,21.74553122931893,5,253.3256223508209,Standard
